dma_elec,cls_elec,ct,disp,int,mod_pauli,pol,index
-187.112717,-205.9132,-34.7029,-9.0795,-231.05629999999996,106.9301,-88.2908,199
-195.806851,-214.4245,-37.8022,-9.2411,-246.65319999999997,109.2837,-94.4691,200
-183.204153,-200.8918,-34.4053,-8.8991,-236.41289999999998,99.9128,-92.1295,201
-198.779118,-218.335,-38.7474,-9.5997,-240.86800000000002,118.703,-92.8889,202
-195.577994,-221.1268,-43.8879,-10.3159,-238.1633,135.9969,-98.8296,203
-191.412766,-207.5963,-36.7915,-9.215,-242.26780000000002,107.8498,-96.5148,204
-176.481118,-190.2795,-29.5398,-7.9312,-231.0659,80.4591,-83.7745,205
-167.991866,-179.8123,-27.2655,-7.3964,-233.4117,67.8752,-86.8127,206
-179.487758,-189.3604,-27.8124,-7.5564,-239.4383,71.8347,-86.5438,207
-182.073495,-199.2119,-32.4899,-8.6643,-230.11400000000003,95.7344,-85.4823,208
-207.158283,-234.663,-46.7212,-10.8431,-242.1289,152.3162,-102.2178,209
-202.53756,-231.2412,-47.4775,-10.9521,-239.3096,153.1563,-102.7951,210
-200.663733,-222.6894,-40.0514,-9.9001,-237.57780000000002,127.0832,-92.0201,211
-180.47132,-196.6212,-32.9675,-8.5432,-236.78840000000002,92.0693,-90.7258,212
-189.11711,-202.4442,-33.2052,-8.4927,-245.27159999999998,91.4847,-92.6142,213
-182.760765,-197.1326,-31.958,-8.3749,-237.0852,89.309,-88.9287,214
-183.164155,-200.6382,-34.4562,-8.8516,-236.2044,99.1858,-91.4442,215
-192.470651,-207.6665,-34.954,-8.8369,-244.7126,99.5641,-92.8193,216
-180.276497,-196.8432,-32.7617,-8.4972,-237.2178,90.6441,-89.7598,217
-190.394545,-207.6005,-35.2901,-9.058,-237.19940000000003,105.1228,-90.3736,218
-198.938483,-219.6401,-39.9844,-9.7996,-242.0005,123.5983,-96.1747,219
-190.236129,-209.6783,-38.2713,-9.421,-239.7047,113.5868,-95.9209,220
-192.454928,-210.1919,-36.4391,-9.2001,-240.2647,107.9683,-92.4019,221
-194.303358,-214.7614,-38.8149,-9.5593,-240.30530000000002,117.688,-94.8577,222
-192.992888,-214.3104,-39.0754,-9.7084,-237.4868,120.3952,-94.7878,223
-197.393365,-215.6271,-37.5147,-9.3701,-242.0494,112.831,-92.3685,224
-191.598468,-209.046,-36.6584,-9.1173,-244.0062,105.5577,-94.7422,225
-190.918288,-206.9464,-34.2967,-8.8811,-238.24849999999998,101.3665,-89.4908,226
-195.619567,-213.9589,-37.5194,-9.3129,-242.5525,111.4638,-93.2251,227
-192.968871,-211.5407,-38.1148,-9.4093,-242.23249999999996,113.0134,-96.1811,228
-202.441585,-224.7476,-41.8756,-10.1703,-239.8018,133.3751,-96.3834,229
-201.583573,-224.7083,-42.2837,-10.1734,-240.63390000000004,132.985,-96.4535,230
-200.370503,-222.5388,-42.5079,-10.1876,-241.3222,133.4483,-99.5362,231
-203.976838,-224.8643,-42.1428,-10.1326,-242.43059999999997,132.2304,-97.5213,232
-199.082762,-220.93,-40.1169,-9.857,-238.4698,125.6791,-93.245,233
-195.252582,-213.0502,-37.751,-9.4301,-241.28719999999998,113.7104,-94.7663,234
-188.929479,-205.2507,-34.0771,-8.7495,-240.31380000000001,98.1993,-90.4358,235
-183.794308,-199.4379,-31.8787,-8.4687,-233.79180000000002,92.2628,-86.2693,236
-185.858356,-200.1759,-33.0521,-8.5836,-240.2209,93.3229,-91.7322,237
-182.76619,-205.9758,-37.5824,-9.4761,-226.89010000000002,116.5565,-90.4123,238
-199.186073,-220.8841,-41.2704,-10.1262,-237.24259999999998,132.6843,-97.6462,239
-190.770784,-215.9432,-42.07,-10.1045,-234.9996,129.8042,-96.6861,240
-202.009385,-223.3173,-40.8771,-9.9544,-241.2308,127.9423,-95.0243,241
-194.984277,-213.9271,-38.3081,-9.5486,-240.0747,117.1016,-95.3925,242
-197.977764,-217.1478,-38.1492,-9.4579,-242.17039999999997,115.1408,-92.5563,243
-193.772688,-213.6568,-37.7486,-9.5295,-236.92530000000005,117.481,-93.4714,244
-195.846255,-214.2146,-37.152,-9.3287,-240.82309999999998,111.938,-92.0658,245
-186.260417,-201.0271,-32.6706,-8.5397,-238.627,93.1721,-89.5617,246
-184.971067,-199.417,-31.4716,-8.3172,-237.30280000000005,88.6108,-86.7078,247
-188.447519,-202.6794,-32.664,-8.4866,-241.31239999999997,91.7964,-89.2788,248
-193.424327,-211.4445,-36.4549,-9.2914,-238.0047,111.3459,-92.1598,249
-191.859613,-208.3488,-35.0128,-8.914,-241.57160000000002,101.4763,-90.7723,250
-189.520821,-205.4171,-34.1122,-8.8229,-239.1279,99.8209,-90.5966,251
-196.770382,-216.3739,-38.8793,-9.5652,-242.29000000000002,117.1008,-94.5724,252
-200.12408,-221.4064,-39.9026,-9.8581,-238.4513,125.9019,-93.1861,253
-198.173839,-218.5281,-41.1801,-9.8749,-244.3155,124.7752,-99.5076,254
-200.894515,-224.0921,-41.6296,-10.1313,-237.2999,133.0139,-94.4608,255
-200.906047,-223.4124,-41.8944,-10.1566,-237.66359999999997,133.3437,-95.5439,256
-195.326836,-211.2094,-37.3102,-9.1868,-248.1212,107.1369,-97.5517,257
-176.092095,-192.6177,-31.9546,-8.4031,-228.65840000000003,90.2842,-85.9672,258
-172.499115,-187.0257,-29.4277,-8.03,-230.7798,80.5502,-86.8466,259
